"Category"	"Percent of items used"
"Z16.czasowniki"	0.269246843709186
"Z07.czêœci_cia³a"	0.0797387897257292
"Z08.w_domu"	0.0744449281671746
"Z04.pokarmy"	0.0633609055289508
"Z09.przedmioty_domowego_u¿ytku"	0.0555245973008272
"Z10.na_dworze"	0.047287766652155
"Z05.zabawki"	0.040870700914236
"Z12.osoby"	0.0376055724858511
"Z19.okreœlenia_miary"	0.0320156726164562
"Z20.zaimki_osobowe"	0.0317457553330431
"Z17.okreœlenia_miejsca"	0.0307357422725294
"Z06.ubrania"	0.0274357858075751
"Z02.zwierzêta"	0.0263387026556378
"Z18.okreœlenia_czasu"	0.0249542882020026
"Z23.przys³ówki_modalne"	0.0242316064431868
"Z13.formu³y"	0.0238484980409229
"Z14.przymiotniki"	0.0196691336525903
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.0164127122333478
"Z25.spójniki"	0.0157248585111014
"Z21.zaimki_wskazuj¹ce"	0.013243360905529
"Z03.pojazdy"	0.0114584240313452
"Z22.pytania"	0.011380060949064
"Z01.odg³osy"	0.0101523726599913
"Z15.przys³ówki"	0.00801044841097083
"Z24.przyimki"	0.00456247279059643
