"Category"	"Percent of items used"
"457"	0.05
"539"	0.0260992599042229
"179"	0.0254897692642577
"486"	0.0178711362646931
"189"	0.0162385720505007
"226"	0.0136047017849369
"188"	0.0132346538963866
"183"	0.0130605137135394
"599"	0.012929908576404
"508"	0.011863299956465
"314"	0.0117544623421855
"190"	0.0117109272964737
"535"	0.0116020896821942
"155"	0.0114714845450588
"220"	0.011210274270788
"157"	0.0110143665650849
"536"	0.0110143665650849
"197"	0.0106225511536787
"141"	0.0103831084022638
"148"	0.010339573356552
"163"	0.010339573356552
"521"	0.010339573356552
"216"	0.0100783630822812
"201"	0.0100130605137135
"469"	0.0100130605137135
"202"	0.00996952546800174
"136"	0.00986068785372225
"670"	0.00970831519373095
"308"	0.00953417501088376
"91"	0.00929473225946887
"523"	0.00909882455376578
"597"	0.00909882455376578
"598"	0.00905528950805398
"644"	0.00903352198519808
"56"	0.00890291684806269
"206"	0.00885938180235089
"568"	0.0086852416195037
"537"	0.0086634740966478
"549"	0.0086417065737919
"424"	0.00846756639094471
"499"	0.00827165868524162
"570"	0.00824989116238572
"263"	0.00820635611667392
"294"	0.00816282107096212
"350"	0.00814105354810623
"196"	0.00811928602525033
"571"	0.00809751850239443
"213"	0.00805398345668263
"503"	0.00792337831954724
"502"	0.00790161079669134
"614"	0.00787984327383544
"615"	0.00774923813670004
"580"	0.00770570309098825
"23"	0.00768393556813235
"250"	0.00766216804527645
"538"	0.00764040052242055
"334"	0.00757509795385285
"464"	0.00748802786242926
"290"	0.00722681758815847
"643"	0.00718328254244667
"616"	0.00711797997387897
"645"	0.00703090988245538
"180"	0.00700914235959948
"219"	0.00692207226817588
"426"	0.00692207226817588
"496"	0.00687853722246408
"505"	0.00670439703961689
"608"	0.00663909447104919
"303"	0.00629081410535481
"265"	0.00624727905964301
"38"	0.00605137135393992
"625"	0.00605137135393992
"483"	0.00585546364823683
"90"	0.00581192860252503
"546"	0.00581192860252503
"474"	0.00565955594253374
"372"	0.00559425337396604
"70"	0.00548541575968655
"493"	0.00546364823683065
"266"	0.00544188071397475
"331"	0.00537657814540705
"203"	0.00524597300827166
"656"	0.00524597300827166
"591"	0.00518067043970396
"509"	0.00511536787113626
"272"	0.00507183282542447
"607"	0.00505006530256857
"224"	0.00500653025685677
"646"	0.00489769264257727
"514"	0.00483239007400958
"561"	0.00468001741401828
"524"	0.00463648236830649
"135"	0.00461471484545059
"641"	0.00457117979973879
"413"	0.00448410970831519
"513"	0.00448410970831519
"475"	0.0043970396168916
"600"	0.004309969525468
"191"	0.0042446669569003
"311"	0.0042446669569003
"484"	0.00411406181976491
"337"	0.00398345668262952
"445"	0.00387461906835002
"473"	0.00385285154549412
"515"	0.00383108402263822
"71"	0.00380931649978232
"367"	0.00363517631693513
"297"	0.00361340879407923
"382"	0.00354810622551154
"532"	0.00348280365694384
"540"	0.00348280365694384
"567"	0.00348280365694384
"517"	0.00343926861123204
"351"	0.00330866347409665
"612"	0.00328689595124075
"530"	0.00313452329124946
"460"	0.00306922072268176
"485"	0.00300391815411406
"172"	0.00296038310840226
"617"	0.00289508053983457
"611"	0.00280801044841097
"606"	0.00276447540269917
"153"	0.00274270787984327
"504"	0.00274270787984327
"456"	0.00248149760557249
"287"	0.00241619503700479
"215"	0.00230735742272529
"547"	0.0022638223770135
"516"	0.00204614714845451
"479"	0.00200261210274271
"406"	0.00187200696560731
"368"	0.00182847191989552
"306"	0.00152372659991293
"527"	0.00134958641706574
"228"	0.00132781889420984
"584"	0.00130605137135394
"291"	0.00126251632564214
"366"	0.00124074880278624
"5"	0.00121898127993034
"7"	0.00102307357422725
"542"	0.00102307357422725
"355"	0.000957771005659556
"142"	0.000936003482803657
"358"	0.000936003482803657
"221"	0.000914235959947758
"74"	0.00087070091423596
"2"	0.000805398345668263
"534"	0.000805398345668263
"77"	0.000783630822812364
"637"	0.000740095777100566
"327"	0.000718328254244667
"526"	0.000631258162821071
"569"	0.000631258162821071
"117"	0.000565955594253374
"338"	0.000544188071397475
"218"	0.000457117979973879
"3"	0.000413582934262081
"214"	0.000370047888550283
"529"	0.000348280365694384
"349"	0.000326512842838485
"339"	0.000261210274270788
"6"	0.000174140182847192
"246"	0.000174140182847192
"466"	0.000152372659991293
"212"	0.000108837614279495
"396"	0.000108837614279495
"491"	0.000108837614279495
"278"	2.1767522855899e-05
