"Category"	"Percent of items used"
"Z16.czasowniki"	0.286037688911002
"Z07.czêœci_cia³a"	0.0966975558181479
"Z08.w_domu"	0.0746315069345109
"Z04.pokarmy"	0.056098016045774
"Z10.na_dworze"	0.0509111263138255
"Z09.przedmioty_domowego_u¿ytku"	0.0410722059829591
"Z20.zaimki_osobowe"	0.0394676285838672
"Z05.zabawki"	0.0390944710491946
"Z19.okreœlenia_miary"	0.0382610858884259
"Z12.osoby"	0.0362833509546614
"Z06.ubrania"	0.0306486721811058
"Z23.przys³ówki_modalne"	0.0290192176130356
"Z18.okreœlenia_czasu"	0.0289445861061011
"Z17.okreœlenia_miejsca"	0.025710554138939
"Z13.formu³y"	0.020299769886187
"Z02.zwierzêta"	0.0197649107531563
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.0166801417998632
"Z14.przymiotniki"	0.0140804776416444
"Z21.zaimki_wskazuj¹ce"	0.0130231979600721
"Z25.spójniki"	0.00991355183780086
"Z03.pojazdy"	0.00866969338889234
"Z01.odg³osy"	0.00784874681261272
"Z22.pytania"	0.0075377822003856
"Z24.przyimki"	0.00473910069034144
"Z15.przys³ówki"	0.00456496050749425
