"item","S_X2","df.S_X2","RMSEA.S_X2","p.S_X2"
1,343.188874308435,354,0,0.650027925210011
2,124.42341438098,124,0.00121951183053877,0.472417609877679
3,215.063078690083,189,0.00774989848334986,0.0938578075251085
4,284.13496429502,247,0.00809202259659898,0.0522577403551156
5,121.845994940003,132,0,0.725881997794095
6,254.220662457118,237,0.00562554770952568,0.210977895349138
7,166.8147729835,154,0.00602017555847547,0.227046889242133
8,366.393307814673,338,0.00604872309480308,0.138218671399481
9,334.037786156641,276,0.00957006607035563,0.00954997288449028
10,292.536080257111,255,0.00800697416862366,0.0530354681216732
11,332.781844715934,310,0.00565754028257095,0.178770659119601
12,322.434416696949,327,0,0.560904616934993
13,306.295869132597,280,0.00639556338255445,0.134326578987086
14,206.852684128715,217,0,0.678231320662517
15,209.961210799237,250,0,0.968979642735104
16,258.701168609183,263,0,0.563305774655477
17,304.19262309324,292,0.00426453032298397,0.299730807548224
18,223.836523377342,261,0,0.953655673393751
19,251.577107212483,248,0.00250642201332373,0.424750454053364
20,196.966119577018,238,0,0.975593397617777
21,260.898490549313,286,0,0.854021487076351
22,193.040359792445,200,0,0.625009125191519
23,112.983760282955,123,0,0.73039327238685
24,247.622930007507,265,0,0.771212805765307
25,183.345118287032,199,0,0.780130849085156
26,201.780629823045,240,0,0.965306742896065
27,206.875336364789,199,0.00415166283155991,0.336154633967594
28,259.975817991956,265,0,0.575589043483601
29,223.020291648449,250,0,0.889303344923478
30,279.937525962844,262,0.00546065430601898,0.21319924413456
31,242.041278918412,243,0,0.50530149466095
32,206.538167186553,242,0,0.952286647564491
33,204.959126228958,212,0,0.622981820834822
34,211.618777795733,210,0.00183230611130485,0.455688109867847
35,192.390897151827,218,0,0.89358219133107
36,218.646628862661,222,0,0.551031154247758
37,200.397923922402,222,0,0.848156129023353
38,153.434314710139,159,0,0.609616597929064
39,238.814487447071,234,0.00299351307081424,0.40059316722345
40,221.819841694746,226,0,0.566091114749837
41,228.799828282842,216,0.00508029877652083,0.26238877857815
42,191.972729180293,198,0,0.607348820852875
43,223.004894778408,233,0,0.669598550388119
44,265.565407326238,266,0,0.495986485104756
45,192.64418649848,215,0,0.861141017685233
46,201.307084020014,243,0,0.976204409987745
47,214.824080993822,241,0,0.886428348414421
48,223.364225288156,253,0,0.910331513206162
49,203.455381285166,214,0,0.686498012012841
50,211.805291201127,242,0,0.91976393563461
51,172.830196817323,218,0,0.989312012596595
52,184.28846811706,192,0,0.642361686237038
53,209.243527096602,222,0,0.720926627440639
