"code","days","months","gender","fullTheta","SE","weeks"
"Z34091",1050,34,"chłopiec",3.17461981606346,0.404385808729334,150
"Z34092",1043,34,"chłopiec",1.38589889042055,0.0515234886480901,149
"Z34093",1056,34,"chłopiec",2.19271288036359,0.14984116594056,151
"Z34094",1051,34,"chłopiec",0.999324811660705,0.0116012144761121,151
"Z34095",1052,34,"chłopiec",2.57865662061185,0.228956405196482,151
"Z34096",1056,34,"dziewczynka",0.399999997602023,2.19109166239606e-05,151
"Z34097",1036,34,"chłopiec",-0.199999993187184,5.68945880111919e-05,148
"Z34098",1049,34,"dziewczynka",2.04818255497742,0.125390451833766,150
"Z34099",1058,34,"chłopiec",0.200000013055891,5.10999954045655e-05,152
"Z34100",1048,34,"dziewczynka",0.599990919328837,0.00134760966743414,150
"Z34101",1035,34,"dziewczynka",0.998927507812004,0.0146065808521766,148
"Z34102",1046,34,"dziewczynka",1.00284557409081,0.0236858399284661,150
"Z34103",1050,34,"chłopiec",0.400000001277817,1.60152137450091e-05,150
"Z34105",1038,34,"dziewczynka",0.600018672722673,0.00193240675845809,149
"Z34106",1035,34,"dziewczynka",1.86684698400972,0.104791464480225,148
"Z34107",1036,34,"dziewczynka",3.17461981606346,0.404385808729334,148
"Z34108",1057,34,"chłopiec",0.0227812468842026,0.0635394693654389,151
"Z34109",1063,34,"chłopiec",0.199992515651598,0.00122344336403172,152
"Z34110",1040,34,"dziewczynka",1.20035043580922,0.00892667904245632,149
"Z34111",630,20,"dziewczynka",0.599999569900066,0.000293292735088182,90
"Z35001",1066,35,"chłopiec",1.99435541496231,0.11868953372642,153
"Z35002",1072,35,"chłopiec",-0.92060744325022,0.0979025220117263,154
"Z35003",1069,35,"dziewczynka",3.17461981606346,0.404385808729334,153
"Z35004",1082,35,"chłopiec",-2.18700513413156,0.189990434315191,155
"Z35005",1073,35,"dziewczynka",0.800009158310982,0.00135340853928678,154
"Z35006",1069,35,"dziewczynka",2.15500383805587,0.143782996091419,153
"Z35007",1083,35,"chłopiec",1.73891962918061,0.0992860836070936,155
"Z35008",1067,35,"chłopiec",1.00347442784541,0.0261307315776281,153
"Z35009",1074,35,"chłopiec",0.60000051577484,0.000321178122191359,154
"Z35010",1078,35,"chłopiec",0.200187424621777,0.00611962387460824,154
"Z35011",1072,35,"dziewczynka",1.62425661960496,0.0694390969717034,154
"Z35012",1074,35,"dziewczynka",0.599947358794798,0.00324429806790676,154
"Z35013",1074,35,"dziewczynka",1.65621241001282,0.0914351499975275,154
"Z35014",1079,35,"chłopiec",0.800002720863496,0.000737986524009082,155
"Z35015",1077,35,"dziewczynka",1.39531485701432,0.031938240786809,154
"Z35016",1077,35,"chłopiec",0.200000051395383,0.000101385807322666,154
"Z35017",1091,35,"dziewczynka",2.40651465840463,0.189807463402368,156
"Z35018",1085,35,"chłopiec",1.9729101555534,0.117455775401408,155
"Z35019",1082,35,"dziewczynka",0.60000000120683,2.11473882799306e-05,155
"Z35020",1076,35,"chłopiec",0.9988057277441,0.0154088207902484,154
"Z35021",1082,35,"dziewczynka",3.17461981606346,0.404385808729334,155
"Z35022",1088,35,"dziewczynka",0.80024400564185,0.00698151808141416,156
"Z35023",1095,35,"chłopiec",2.83296763919809,0.297392082343528,157
"Z35024",1088,35,"chłopiec",-1.74627172323448,0.135533271284508,156
"Z35025",1091,35,"dziewczynka",3.17461981606346,0.404385808729334,156
"Z35026",1092,35,"chłopiec",2.05198712793192,0.126025541462141,156
"Z35027",1077,35,"chłopiec",-1.5731960846452,0.116322586044434,154
"Z35028",1066,35,"dziewczynka",-0.490097095859848,0.0995084552135935,153
"Z35029",1083,35,"chłopiec",0.199999997838865,2.07946348167207e-05,155
"Z35030",1076,35,"dziewczynka",1.82740821801536,0.0914953379969552,154
"Z35031",1073,35,"dziewczynka",-0.199999606098412,0.000280775465386504,154
"Z35032",1069,35,"dziewczynka",3.0569972203657,0.366224264221099,153
"Z35034",1124,36,"chłopiec",2.95999253830684,0.335647444747912,161
"Z35035",1083,35,"chłopiec",3.17461981606346,0.404385808729334,155
