"a","b","position","category","number.ws"
0.924507451287834,-0.344702008407126,"gę.gę","Z01.odgłosy",1
1.0418569868865,-2.69266509106232,"hau.hau","Z01.odgłosy",2
0.935634801233139,-2.1836979405448,"ko.ko.ko","Z01.odgłosy",3
1.15200003024969,-1.20638560466659,"kwa.kwa","Z01.odgłosy",4
1.0675448807032,-2.51403555480349,"miau","Z01.odgłosy",5
0.986304107510267,-1.57445006737198,"mee.bee","Z01.odgłosy",6
1.05611549742892,-2.25950116022164,"muu..krowa.","Z01.odgłosy",7
0.846186400200156,-0.751102849728828,"pi.pi.pi.ćwir.ćwir","Z01.odgłosy",8
0.574024117551845,-2.32155202376578,"bam.bum.bęc","Z01.odgłosy",9
0.619530448739947,-2.45833187145724,"brrum.brrum","Z01.odgłosy",10
1.18658513460511,-0.556662897254812,"tik.tak","Z01.odgłosy",11
0.855465910017865,-0.888328204732403,"tralala.lalala","Z01.odgłosy",12
1.80739341306389,0.215066027218666,"baran","Z02.zwierzęta",13
2.66912314193326,0.0420624081079119,"biedronka","Z02.zwierzęta",14
2.1733804322116,0.237570075131557,"bocian","Z02.zwierzęta",15
1.89553303110129,0.497798814302229,"foka","Z02.zwierzęta",16
1.57790501952903,0.499311373709526,"gęś","Z02.zwierzęta",17
1.91228068515797,0.500123953410718,"gołąb","Z02.zwierzęta",18
2.14631949233713,0.345523653140816,"jeż","Z02.zwierzęta",19
1.94100118817793,-0.502280097682684,"kaczka","Z02.zwierzęta",20
1.74941679206491,0.0493563605381825,"kogut","Z02.zwierzęta",21
2.06709730668608,-0.746957726612076,"koń","Z02.zwierzęta",22
1.95598496135804,-1.50137184918681,"kot","Z02.zwierzęta",23
1.99654807005717,0.159069428128646,"koza","Z02.zwierzęta",24
2.06581773233032,-0.756680685375785,"krowa","Z02.zwierzęta",25
2.34498420019196,0.068327794170144,"królik","Z02.zwierzęta",26
2.00750618581004,-0.814562284411789,"kura","Z02.zwierzęta",27
1.5840811772321,0.906345524193758,"kurczątko","Z02.zwierzęta",28
2.11044106631134,-0.135360472460034,"lew","Z02.zwierzęta",29
2.02287213547078,0.20420084682913,"lis","Z02.zwierzęta",30
2.27764115860148,-0.08289164805351,"małpa","Z02.zwierzęta",31
1.80701153861167,-0.579098539592919,"miś.niedźwiedź","Z02.zwierzęta",32
2.75234941261709,0.068531597540995,"motylek","Z02.zwierzęta",33
2.66715122057016,0.405343381367247,"mrówka","Z02.zwierzęta",34
2.31245285509061,-0.456893121630532,"mucha","Z02.zwierzęta",35
2.53032230471934,-0.151918080805194,"myszka","Z02.zwierzęta",36
2.53906907858256,0.243322416053778,"pająk","Z02.zwierzęta",37
1.87492975169495,-1.2594701757816,"pies","Z02.zwierzęta",38
2.25090843883612,0.574496340951552,"pingwin","Z02.zwierzęta",39
2.35853959090567,-0.285633061590682,"ptaszek","Z02.zwierzęta",40
2.69671131780471,0.196415910856196,"robak","Z02.zwierzęta",41
2.57858940621666,-0.48630203121312,"ryba","Z02.zwierzęta",42
2.40798057413896,-0.121633158551862,"słoń","Z02.zwierzęta",43
1.93951654192215,0.257632894999713,"sowa","Z02.zwierzęta",44
2.71819720909151,0.191422216033038,"ślimak","Z02.zwierzęta",45
2.24365365184519,-0.14403422941461,"świnka","Z02.zwierzęta",46
2.19695384865417,0.377307014474946,"tygrys","Z02.zwierzęta",47
2.11340850810509,0.302851957038264,"wąż","Z02.zwierzęta",48
2.56404612948025,0.479031412048173,"wiewiórka","Z02.zwierzęta",49
2.19392332737027,0.412905630344566,"wilk","Z02.zwierzęta",50
2.53729699601671,0.376172480756475,"zając","Z02.zwierzęta",51
2.8750983675905,0.548680881488883,"zwierzątko","Z02.zwierzęta",52
2.31969247020275,-0.388702928423022,"żaba","Z02.zwierzęta",53
2.47225810667848,0.275244785056588,"żółw","Z02.zwierzęta",54
2.47679690277051,0.267052812017157,"żyrafa","Z02.zwierzęta",55
2.1438805379153,-1.74078631478427,"auto.samochód","Z03.pojazdy",56
2.14484788750475,-0.21462182485245,"autobus","Z03.pojazdy",57
1.5154610423468,0.621648904672948,"ciężarówka","Z03.pojazdy",58
1.68132445226631,0.6275134933622,"helikopter","Z03.pojazdy",59
1.73321539779201,0.0882084252455972,"koparka","Z03.pojazdy",60
1.30021967362322,0.693518680221013,"lokomotywa","Z03.pojazdy",61
2.25965560864139,-0.127312562359864,"motor.motocykl","Z03.pojazdy",62
1.98957516675887,-0.412723948796068,"pociąg","Z03.pojazdy",63
1.50025916873993,0.277612268334831,"pogotowie.karetka","Z03.pojazdy",64
2.85583323139947,-0.357517146394341,"rower","Z03.pojazdy",65
2.6454411492222,-0.345397812510098,"samolot","Z03.pojazdy",66
2.55913467134949,0.275136285254038,"statek","Z03.pojazdy",67
1.65909257873122,-0.303330164751247,"traktor","Z03.pojazdy",68
1.51409925008138,0.894601105603882,"tramwaj","Z03.pojazdy",69
2.76011777227731,-0.67129797899592,"banan","Z04.pokarmy",70
1.98847157223143,1.16205679756825,"barszcz","Z04.pokarmy",71
2.11773289750281,0.390754465432504,"batonik","Z04.pokarmy",72
2.23665849982325,0.466999404659622,"budyń","Z04.pokarmy",73
2.7534354718798,-0.603947458320752,"bułka","Z04.pokarmy",74
2.68772715050509,0.65431847688165,"buraczki","Z04.pokarmy",75
2.92984943958704,0.356291443565859,"cebula","Z04.pokarmy",76
3.04541239015095,-0.510853673493361,"chleb","Z04.pokarmy",77
2.53151230790398,-0.214384729051557,"chrupki","Z04.pokarmy",78
2.26688538568817,-0.00962830353734417,"ciasto","Z04.pokarmy",79
