"Category"	"Percent of items used"
"Z16.czasowniki"	0.324183717892904
"Z07.czêœci_cia³a"	0.134958641706574
"Z08.w_domu"	0.0692207226817588
"Z20.zaimki_osobowe"	0.0476055724858511
"Z19.okreœlenia_miary"	0.0452764475402699
"Z10.na_dworze"	0.0442751414888986
"Z06.ubrania"	0.035785807575098
"Z05.zabawki"	0.034262080975185
"Z09.przedmioty_domowego_u¿ytku"	0.0328254244666957
"Z23.przys³ówki_modalne"	0.0327165868524162
"Z04.pokarmy"	0.0312363952982151
"Z12.osoby"	0.0304745319982586
"Z18.okreœlenia_czasu"	0.0291467131040488
"Z17.okreœlenia_miejsca"	0.0213974749673487
"Z02.zwierzêta"	0.0137353069220723
"Z13.formu³y"	0.0132346538963866
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.0124727905964301
"Z25.spójniki"	0.00970831519373095
"Z21.zaimki_wskazuj¹ce"	0.00894645189377449
"Z03.pojazdy"	0.00890291684806269
"Z14.przymiotniki"	0.00552895080539835
"Z24.przyimki"	0.00524597300827166
"Z15.przys³ówki"	0.00448410970831519
"Z01.odg³osy"	0.00363517631693513
"Z22.pytania"	0.000740095777100566
