"Category"	"Percent of items used"
"Z16.czasowniki"	0.342446669569003
"Z07.czêœci_cia³a"	0.156610071107241
"Z08.w_domu"	0.0741837178929038
"Z19.okreœlenia_miary"	0.0514003773037295
"Z20.zaimki_osobowe"	0.0426933681613699
"Z06.ubrania"	0.0388042374111159
"Z05.zabawki"	0.0353794804817878
"Z10.na_dworze"	0.0350021767522856
"Z09.przedmioty_domowego_u¿ytku"	0.0325642141924249
"Z18.okreœlenia_czasu"	0.0279494993469743
"Z23.przys³ówki_modalne"	0.0267595414308518
"Z12.osoby"	0.025221303149035
"Z17.okreœlenia_miejsca"	0.0215933826730518
"Z04.pokarmy"	0.0187200696560731
"Z02.zwierzêta"	0.0148309389058192
"Z11.miejsca_gdzie_mo¿na_pójœæ"	0.0144826585401248
"Z13.formu³y"	0.0117254389783776
"Z03.pojazdy"	0.011638368886954
"Z25.spójniki"	0.00557248585111014
"Z24.przyimki"	0.0042664344797562
"Z21.zaimki_wskazuj¹ce"	0.00415034102452474
"Z14.przymiotniki"	0.0022638223770135
"Z01.odg³osy"	0.001509214918009
"Z15.przys³ówki"	0.000232186910462923
"Z22.pytania"	0
